created_at,tweet_text,screen_name,name
2021-10-16 21:13:01+00:00,The voter registration deadline is coming up in several states. Make sure you’re registered to vote at https://t.co/Hy8C4mIL2M and vote for Democrats up and down the ballot to keep America moving forward. https://t.co/c9DiEScQon,JoeBiden,Joe Biden
2021-10-16 01:20:00+00:00,"With the expanded Child Tax Credit, working families are getting the relief they need thanks to the American Rescue Plan. 

This money is making a difference for countless Americans and lifting millions of kids out of poverty.",JoeBiden,Joe Biden
2021-10-16 00:30:01+00:00,"Today, another round of payments from the expanded Child Tax Credit will help millions of families across the country with payments of up to $300 per child. 

This is just the first step. Our Build Back Better Agenda will extend this benefit for years to come.",JoeBiden,Joe Biden
2021-10-15 23:52:00+00:00,The evidence is clear: Vaccination requirements work. https://t.co/aODppNEa7F,JoeBiden,Joe Biden
2021-10-15 19:14:01+00:00,"More than 1 out of 3 eligible seniors have already received their COVID-19 booster. 

We’re going to continue to provide that protection to seniors and everyone else as we head into the holiday season. Together, we can put this pandemic behind us.",JoeBiden,Joe Biden
2021-10-15 14:02:17+00:00,A promise I didn’t take lightly. https://t.co/rkmkGRIUVi,JoeBiden,Joe Biden
2021-10-14 23:15:00+00:00,Our plan to accelerate a path out of this pandemic is working. https://t.co/HodK4Y7glV,JoeBiden,Joe Biden
2021-10-14 14:25:01+00:00,"Tomorrow, @DrBiden is back on the campaign trail for a grassroots event with @TerryMcAuliffe.

Virginia, you’re not going to find anyone who knows how to get more done than Terry. Let’s keep moving Virginia forward. RSVP now. 
https://t.co/V2t07vgPmp",JoeBiden,Joe Biden
2021-10-12 21:34:00+00:00,"Folks, it’s been a month since I laid out my plan to accelerate the path out of this pandemic. We’ve made real progress, but we still have a long way to go.

There’s no better way to beat this pandemic than to get the vast majority of Americans vaccinated. It’s as simple as that.",JoeBiden,Joe Biden
2021-10-12 14:35:01+00:00,"Virginia: Last year, the people voted and democracy prevailed. We have to do it again and elect @TerryMcAuliffe as governor.

Today is the last day to register to vote. Head to https://t.co/rqHXR7xuqW and make sure you're registered.",JoeBiden,Joe Biden
2021-10-10 23:58:00+00:00,"For the first time since March 2020, the unemployment rate is below 5%. We still have more work to do, but recovery is moving forward even in the face of a pandemic.",JoeBiden,Joe Biden
2021-10-10 20:49:00+00:00,"We have a plan. We have the tools. Let’s finish the job—get vaccinated.
https://t.co/b8jlTuDMTm",JoeBiden,Joe Biden
2021-10-10 15:38:00+00:00,"An average of 600,000 new jobs have been created every month since we took office. 

Jobs are up, wages are up, and unemployment is down. This progress is attributed to the hard work and resilience of the American people, who are battling through this pandemic.",JoeBiden,Joe Biden
2021-10-09 23:34:00+00:00,"Let’s set one thing straight: The Bipartisan Infrastructure Deal and the Build Back Better Agenda are not about left versus right.

They’re about leading the world or continuing to let the world pass us by.",JoeBiden,Joe Biden
2021-10-09 21:08:01+00:00,"Before the American Rescue Plan passed, the Congressional Budget Office projected that it would take until 2023 to get to a 4.8% unemployment rate.

We hit that rate in October of 2021.",JoeBiden,Joe Biden
2021-10-09 16:35:00+00:00,"Here's the deal. Vaccine requirements are already proving that they work.

More than 185 million Americans are now fully vaccinated and more than 75% of eligible Americans have gotten at least one shot. That’s real progress.",JoeBiden,Joe Biden
2021-10-09 00:33:00+00:00,"Let’s be clear: Vaccine requirements aren't about politics, they’re about saving lives.
https://t.co/LizrAytwGZ",JoeBiden,Joe Biden
2021-10-08 21:59:53+00:00,We’re making real progress for the American people. https://t.co/CqNYb5ZFwk,JoeBiden,Joe Biden
2021-10-08 19:35:01+00:00,"Millions of American parents are feeling the squeeze, having a hard time doing their job, earning a paycheck, while taking care of their children or aging parents. My Build Back Better Agenda will change that.",JoeBiden,Joe Biden
2021-10-07 23:37:00+00:00,"When we give working families a break, we're not just raising their quality of life—we're putting parents in a position to earn a paycheck. That's what the Bipartisan Infrastructure Deal and the Build Back Better Agenda are all about.",JoeBiden,Joe Biden
2021-10-07 21:43:00+00:00,"Teachers and firefighters shouldn’t pay a higher tax rate than millionaires and billionaires.
https://t.co/02tU0LF7p1",JoeBiden,Joe Biden
2021-10-07 15:03:01+00:00,"The Bipartisan Infrastructure Deal is about rebuilding our roads, our highways, our bridges, our ports, our airports, our broadband. It’s a blue-collar blueprint for rebuilding America.",JoeBiden,Joe Biden
2021-10-06 20:50:02+00:00,"Our Bipartisan Infrastructure Deal and Build Back Better Agenda are not about left versus right—they’re about competitiveness versus complacency.
https://t.co/H54nLNbzqL",JoeBiden,Joe Biden
2021-10-06 18:30:03+00:00,"Republicans forcing us to default on the debt would lead to a self-inflicted wound that would take our economy over a cliff.
https://t.co/x0anA9Gjk7",JoeBiden,Joe Biden
2021-10-05 19:21:36+00:00,"My message to Republicans: If you don't want to help save the country, get out of the way. https://t.co/5Um4dL0XO8",JoeBiden,Joe Biden
2021-10-05 15:57:26+00:00,Republicans won't vote to raise the debt limit to cover their own policies under the previous administration. It’s reckless and dangerous. https://t.co/qXu0jlcQbf,JoeBiden,Joe Biden
